word;label;value;num
conseguir;Sorpresa;0.33;1
consenso;Alegria;0.33;1
consentimiento;Alegria;0.396;1
consideración;Alegria;0.396;1
considerar;Alegria;0.396;1
consolación;Alegria;0.397;1
consolador;Alegria;0.331;1
consolar;Alegria;0.397;1
consternar;Sorpresa;0.43;1
consuelo;Alegria;0.43;1
consumar;Alegria;0.364;1
contaminar;Repulsion;0.63;1
contemporizar;Alegria;0.165;1
contentar;Alegria;0.762;1
contento;Alegria;0.966;1
contrariar;Enojo;0.463;1
contrariedad;Enojo;0.331;1
contrición;Tristeza;0.429;1
contristar;Tristeza;0.663;1
contrito;Tristeza;0.63;1
conturbar;Sorpresa;0.632;1
copiosidad;Alegria;0.562;1
copioso;Alegria;0.462;1
coraje;Enojo;0.899;1
corajudo;Enojo;0.831;1
corazón;Alegria;0.33;1
cordial;Alegria;0.629;1
cordialidad;Alegria;0.663;1
cordialmente;Alegria;0.729;1
corroer;Enojo;0.297;1
corromper;Repulsion;0.596;1
cortedad;Miedo;0.165;1
cortesía;Alegria;0.695;1
cosquillear;Alegria;0.764;1
cosquilleo;Alegria;0.764;1
crecer;Alegria;0.53;1
crisis;Tristeza;0.696;1
crispar;Enojo;0.43;1
crucificar;Enojo;0.198;1
cruento;Miedo;0.33;1
cuenta;Enojo;0;1
cuidar;Alegria;0.33;1
cuita;Tristeza;0.73;1
cuitado;Tristeza;0.597;1
culminación;Alegria;0.398;1
culpa;Tristeza;0.598;1
culpabilidad;Tristeza;0.631;1
culpable;Tristeza;0.565;1
culpado;Tristeza;0.631;1
culposo;Tristeza;0.631;1
culto;Alegria;0.264;1
cumplido;Alegria;0.529;1
cumplimentar;Alegria;0.364;1
cumplir;Alegria;0.496;1
dañino;Tristeza;0.562;1
debilitar;Tristeza;0.33;1
decaer;Tristeza;0.729;1
decaído;Tristeza;0.831;1
decaimiento;Tristeza;0.797;1
decorativo;Alegria;0.363;1
dedicar;Alegria;0.462;1
defectuoso;Tristeza;0.33;1
deferencia;Alegria;0.495;1
deficiente;Tristeza;0.363;1
dejarse;Tristeza;0.233;1
dejazón;Tristeza;0.166;1
deleitar;Alegria;0.796;1
deléitese;Alegria;0.695;1
delicadeza;Alegria;0.264;1
delicia;Alegria;0.663;1
demente;Enojo;0.364;1
denigrar;Enojo;0.496;1
deplorable;Tristeza;0.563;1
deplorablemente;Tristeza;0.563;1
deplorar;Tristeza;0.53;1
depresión;Tristeza;0.898;1
depresivo;Tristeza;0.898;1
deprimente;Tristeza;0.898;1
deprimir;Tristeza;0.864;1
derribado;Tristeza;0.563;1
derribar;Tristeza;0.431;1
derrota;Tristeza;0.764;1
desaforo;Enojo;0.132;1
desafortunado;Tristeza;0.898;1
desagradablemente;Repulsion;0.831;1
desagradar;Enojo;0.628;1
desagraviar;Alegria;0.231;1
desahogo;Alegria;0.363;1
desairar;Enojo;0.53;1
desaire;Enojo;0.53;1
